SeqID,Date Of Stop,Time Of Stop,Agency,SubAgency,Description,Location,Latitude,Longitude,Accident,Belts,Personal Injury,Property Damage,Fatal,Commercial License,HAZMAT,Commercial Vehicle,Alcohol,Work Zone,Search Conducted,Search Disposition,Search Outcome,Search Reason,Search Reason For Stop,Search Type,Search Arrest Reason,State,VehicleType,Manufacture Year,Make,Model,Color,Violation Type,Charge,Contributed To Accident,Race,Gender,Driver City,Driver State,DL State,Arrest Type,Charge Hierarchy,Charge Description,Fine,Points,Contr.Acc Fine,Contr.Acc Points,Section,Driver_City_Latitude,Driver_City_Longitude
35333459-ff22-4f0a-b69e-a7ad633be9c9,1/2/2025,19:43:00,MCP,"6th District, Gaithersburg / Montgomery Village",KNOWINGLY DRIVING UNINSURED VEHICLE,SAM EIG HWY @ FIELDS RD,39.11586133,-77.2084365,No,No,No,No,No,No,No,No,No,No,No,,Citation,,13-411(f),,,MD,02 - Automobile,2007,HONDA,ACCORD,RED,Citation,17-107(a1),FALSE,WHITE,F,ROCKVILLE,MD,MD,A - Marked Patrol,17-107,,MA,5,MA,5,Financial Responsibility and Vehicle Registration,39.0817985,-77.1516844
fb58b70b-58cc-44b9-b81a-6971bd89e3c6,1/1/2025,4:51:00,MCP,"3rd District, Silver Spring","FAILURE OF VEH. ON HWY. TO DISPLAY LIGHTED LAMPS, ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND",COLESVILLE RD @ HASTINGS DR,39.01326867,-77.01630217,No,No,No,No,No,No,No,No,No,No,No,,Citation,,21-201(a1),,,MD,02 - Automobile,2016,TOYT,4S,GRAY,Citation,22-201.1,FALSE,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,22-201.1,When Lighted Lamps Are Required,$60.00 ,0,$60.00 ,0,Equipment of Vehicles,38.9997621,-77.0240371
770d0b11-a4cf-4cc2-b821-047a54875fe9,1/2/2025,11:18:00,MCP,Headquarters and Special Operations,WINDOW TINT,RANDOLOPH / HUNTERS LANE,39.053935,-77.101225,No,Yes,No,No,No,No,No,No,No,No,No,,Citation,,61,,,MD,02 - Automobile,2013,BMW,SD,GRAY,ESERO,61,FALSE,HISPANIC,F,SILVER SPRING,MD,MD,A - Marked Patrol,61,TINT,,,,,Unknown Section,38.9997621,-77.0240371
c3ee4476-6e6b-4a33-a0d7-a9beafd43e9f,1/3/2025,12:50:00,MCP,Headquarters and Special Operations,WINDOW TINT,E GUDE / DOVER,39.09828167,-77.13742833,No,Yes,No,No,No,No,No,No,No,No,Unknown,,Unknown,,Unknown,,,MD,02 - Automobile,2022,LNDR,UT,WHITE,ESERO,61,FALSE,WHITE,F,BROOKLYN,NY,NY,A - Marked Patrol,61,TINT,,,,,Unknown Section,40.6526006,-73.9497211
25afec33-dbc5-4a13-abc9-eb345a7c856e,1/3/2025,7:39:00,MCP,Headquarters and Special Operations,EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,RANDOLPH RD/TIMBER VIEW CT,39.18440667,-77.263585,No,No,No,No,No,No,No,No,No,No,No,,Warning,,21-801.1,,,MD,02 - Automobile,2014,FORD,MUSTANG,BLUE,Warning,21-801.1,FALSE,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,21-801.1,Maximum Limits,$530.00 ,5,$530.00 ,5,Speed Restrictions,38.9997621,-77.0240371
8f1c2047-a670-4dc6-9281-762e8ebca4ff,1/3/2025,8:11:00,MCP,Headquarters and Special Operations,FAILURE TO EQUIP VEH. WITH REQ. REAR RED STOP LAMPVISIBLE FROM A DISTANCE OF NOT LESS THAN 300 FT,RANDOLPH RD @ DEWEY RD,39.05379667,-77.09173167,No,No,No,No,No,No,No,No,No,No,Unknown,,Unknown,,Unknown,,,MD,02 - Automobile,2014,HONDA,VAN,WHITE,Warning,22-219(a),FALSE,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,22-219,,$70.00 ,0,$70.00 ,0,Equipment of Vehicles,39.0817985,-77.1516844
e1d35764-3387-41a3-bbee-ad9571064b0d,1/3/2025,11:50:00,MCP,Headquarters and Special Operations,DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,RANDOLPH RD @ NEW HAMPSHIRE AVE,39.07567167,-77.00273,No,No,No,No,No,No,No,No,No,No,Unknown,,Unknown,,Unknown,,,MD,02 - Automobile,2021,VW,JETTA,GRAY,Warning,13-411(d),FALSE,OTHER,M,KENSINGTON,MD,MD,A - Marked Patrol,13-411,,$70.00 ,0,$70.00 ,0,Certificates of Title and Registration of Vehicles,40.7934345,-73.7220756
691fabee-c43c-43f1-bd82-2654dc62e1f2,1/3/2025,12:50:00,MCP,"5th District, Germantown",PARKING WHERE PROHIBITED BY OFFICIAL SIGNS,CASPIAN TERN DR/SILVERROD ALY,39.22185333,-77.2953,No,No,No,No,No,No,No,No,No,No,Unknown,,Unknown,,Unknown,,,MD,02 - Automobile,2024,TOYT,RAV4,SILVER,Warning,21-1003(aa),FALSE,OTHER,F,GERMANTOWN,MD,MD,A - Marked Patrol,21-1003,,$50.00 ,0,$50.00 ,0,Parking Violations,39.17130815,-77.26557849
fb58b70b-58cc-44b9-b81a-6971bd89e3c6,1/1/2025,4:51:00,MCP,"3rd District, Silver Spring",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,COLESVILLE RD @ HASTINGS DR,39.01326867,-77.01630217,No,No,No,No,No,No,No,No,No,No,No,,Citation,,21-201(a1),,,MD,02 - Automobile,2016,TOYT,4S,GRAY,Citation,21-201(a1),FALSE,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,21-201,,$90.00 ,1,$130.00 ,3,Rules of Road,38.9997621,-77.0240371
5350b934-bd64-40fc-8c82-97926017a621,1/2/2025,23:46:00,MCP,"3rd District, Silver Spring",FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED,MUNCASTER MILL RD @ ACHILLE LN,39.12859617,-77.1170875,No,No,No,No,No,No,No,No,No,No,No,,Citation,,21-301(a),,,MD,02 - Automobile,2012,MERCEDES,C300,BLACK,Citation,21-301(a),FALSE,HISPANIC,M,GERMANTOWN,MD,MD,A - Marked Patrol,21-301,,$90.00 ,1,$130.00 ,3,Rules of Road,39.17130815,-77.26557849
