Title,Section,Description,Path
1.0,1-1.1,Definitions,Direct
1.0,1-1.2,Certificate of Compliance With Workers' Compensation Act,Direct
1.0,1-1.3,Renewal of License or Permit; Verification of Payment of Taxes and Unemployment Insurance Contributions,Direct
14.0,14-1.0,Altered or Forged Documents and Plates,Direct
14.0,14-1.1,Exceptions From Provisions of Title,Direct
14.0,14-1.2,Taking or Driving Vehicle Without Consent of Owner,Direct
14.0,14-1.3,Possession of Motor Vehicle Master Key,Direct
14.0,14-1.4,Damaging or Tampering With Vehicle,Direct
14.0,14-1.5,Stolen and Recovered Vehicles,Direct
14.0,14-1.6,False Report of Theft,Direct
14.0,14-1.7,"Removed, Falsified, or Unauthorized Identification Number or Registration Card or Plate",Direct
14.0,14-1.8,Fraudulent Intent in Possession or Sale of Ownership Document,Direct
14.0,14-105.1,Secured Party to Notify Police of Repossession,Direct
18.0,18-1.1,Title Inapplicable to Shared Motor Vehicles Under Peer-to-Peer Car Sharing Program,Direct
18.0,18-1.2,Certification of Security Prerequisite to Registration,Direct
18.0,18-1.3,Renting Vehicles to Another -- in General,Direct
18.0,18-1.4,Renting Vehicles to Another -- Vehicle With Incorrect Odometer,Direct
18.0,18-1.5,"Renting Vehicles to Another -- Persons Under Influence of or Impaired by Alcohol, Drugs, or Controlled Dangerous Substances",Direct
18.0,18-1.6,Security,Direct
18.0,18-1.7,Daily Rental Rates,Direct
18.0,18-1.8,Rental Vehicle Companies; Separately Stated Charges,Direct
18.0,18-1.9,Age-Based Service Determinations on Rental and Replacement Vehicles,Direct
19.0,19-1.1,Liability for Negligence of Police Officer,Direct
19.0,19-1.2,Liability for Commandeered Vehicles Used in a Roadblock,Direct
19.0,19-1.3,Liability for Negligent Operation of Emergency Vehicle,Direct
20.0,20-1.1,Scope of Title,Direct
20.0,20-1.2,Driver to Remain at Scene -- Accidents Resulting in Bodily Injury or Death,Direct
20.0,20-1.3,Driver to Remain at Scene -- Accidents Resulting Only in Damage to Attended Vehicle or Property,Direct
20.0,20-1.3,Accident Report Forms,Direct
20.0,20-1.4,Duty to Give Information and Render Aid,Direct
20.0,20-1.5,Duty on Striking Unattended Vehicle or Other Property,Direct
20.0,20-1.6,Duty on Striking Domestic Animal,Direct
20.0,20-1.7,Written Accident Report by Drivers and Owners,Direct
20.0,20-1.8,False Reports Prohibited,Direct
20.0,20-1.9,Administrative Penalty for Violation of Reporting Requirements,Direct
20.0,20-105.1,Information in Addition to That Required by  20-104 and 20-105,Direct
27.0,27-1.1,Misdemeanor -- Penalties; Exceptions,Direct
27.0,27-1.2,Misdemeanor -- Violation of License Restriction or Regulation,Direct
27.0,27-1.3,Payment of Outstanding Fines -- Notice,Direct
27.0,27-1.4,Reimbursement of Forfeited Bond or Collateral,Direct
,2-1.0,Contracts for Waterborne Marine Fire Protection,
,2-1.1,Department Established,
,2-1.1,Information Technology Investment Program,
,2-1.2,"Secretary of Transportation; Deputy Secretary; Assistants, Consultants, and Employees; Appointees",
,2-1.2,Complete Streets Policy,
,2-1.3,General Authority and Duties of Secretary,
,2-1.6,Counsel to Department,
,2-1.7,Units in Department,
,2-1.9,Waiver of Requirements for Competitive Bidding,
,2-2.1,"""Commission"" Defined",
,2-2.2,Commission Established,
,2-2.3,Composition; Qualifications; Tenure; Vacancies,
,2-2.4,Chairman; Meetings; Facilities and Personnel; Compensation and Expenses,
,2-2.5,Powers and Duties of Commission,
,2-4.1,Governor's Authority to Establish Highway Safety Program,
,2-4.2,Governor's Responsibility for Administration of Highway Safety Program,
,2-4.3,Administration of Highway Safety Program,
,2-6.1,Definitions,
,2-6.2,Public Policy,
,2-6.3,Director of Bicycle and Pedestrian Access,
,2-6.4,Bicycle-Pedestrian Master Plan,
,2-6.5,Powers of Department,
,2-6.6,Bicycle and Pedestrian Advisory Committee,
,2-6.7,Pedestrian Safety Program,
,2-6.8,Kim Lamphier Bikeways Network Program -- Purpose,
,2-7.1,Legislative Findings,
,2-7.2,Legislative Intent,
,2-7.3,Powers of Department,
,2-8.1,"Operation of Pride of Baltimore Ii. [Effective Until July 1, 2028]",
,2-8.2,Grants Awarded to Eligible Grantees -- Actions by Department,
,2-103.1,Annual Report,
,2-103.2,Interest on Investments,
,2-103.3,Funding of Service for Elderly Persons and Individuals With Disabilities,
,2-103.4,Human Resources Management System,
,2-103.5,Grants for Paratransit Service Provided by County or Local Governments,
,2-103.6,Job Access Program,
,2-103.7,Consolidated Transportation Program,
,2-103.8,Development of Urban Tree Program -- Purpose -- Collaboration to Identify Sources of Funding -- Inapplicable to Certain Transportation Projects,
,3-1.1,Definitions,
,3-1.2,"Continuation and Change of Resolution, Rules, Forms, Orders, and Directives; Certain References to Maryland Port Authority or State Roads Commission",
,3-1.3,Department of Transportation Bonds,
,3-1.4,Sinking Fund,
,3-2.0,Bond Anticipation Notes,
,3-2.1,General Power to Borrow Money and Issue Evidences of Obligation,
,3-2.1,Revenue Anticipation Notes,
,3-2.2,Power to Issue Bonds,
,3-2.2,Exemption From Taxation,
,3-2.3,Procedure to Issue; Contents of Resolution; Postponement of Time for Receipt of Proposals,
,3-2.3,Full Faith and Credit Not Pledged,
,3-2.4,Execution of Bonds,
,3-2.4,Termination of Power to Issue Obligations Under Certain Other Laws,
,3-2.5,Bonds and Other Evidences of Obligation Are Investment Securities,
,3-2.5,Tax to Pay Principal and Interest; Sinking Fund,
,3-2.6,Exemption From  8-206 and 8-208 of State Finance and Procurement Article,
,3-2.6,Transportation Trust Fund,
,3-2.7,Approval by Board of Public Works,
,3-2.7,Restriction on Transferring Funds in Transportation Trust Fund to General Fund or Special Fund; Repayment,
,3-2.8,Refunding Bonds,
,3-2.9,Interim Certificates and Temporary Bonds,
,3-3.0,Provisions for Payment of Bonds,
,3-3.1,Definitions,
,3-3.2,Purposes of Subtitle,
,3-3.3,Bonds Authorized,
,3-3.4,Participation of Counties,
,3-3.5,Determination of Amount; Subsequent Procedure,
,3-3.6,Limitations on Issuance,
